Wr60,PP50,P15,P50
LOC112049882,LOC112051526,LOC112051744,LOC112052088
LOC112049905,LOC112051539,LOC112051756,LOC112052126
LOC112049949,LOC112051554,LOC112051765,LOC112052130
LOC112049969,LOC112051558,LOC112051828,LOC112052136
LOC112049977,LOC112051626,LOC112051862,LOC112052147
LOC112049987,LOC112051636,LOC112051879,LOC112052160
LOC112049995,LOC112051655,LOC112051888,LOC112052166
LOC112050002,LOC112051684,LOC112051946,LOC112052225
LOC112050024,LOC112051719,LOC112051951,LOC112052254
LOC112050028,LOC112051765,LOC112051963,LOC112052274
LOC112050035,LOC112051822,LOC112051964,LOC112052325
LOC112050044,LOC112051828,LOC112051967,LOC112052331
LOC112050047,LOC112051830,LOC112051969,LOC112052337
LOC112050048,LOC112051879,LOC112051972,LOC112052373
LOC112050083,LOC112051884,LOC112051973,LOC112052375
LOC112050084,LOC112051888,LOC112052001,LOC112052388
LOC112050199,LOC112051905,LOC112052043,LOC112052396
LOC112050253,LOC112051946,LOC112052048,LOC112052411
LOC112050261,LOC112051951,LOC112052141,LOC112052437
LOC112050264,LOC112051953,LOC112052165,LOC112052504
LOC112050343,LOC112052001,LOC112052166,LOC112052505
LOC112050344,LOC112052026,LOC112052245,LOC112052526
LOC112050384,LOC112052044,LOC112052274,LOC112052576
LOC112050417,LOC112052060,LOC112052289,LOC112052587
LOC112050431,LOC112052082,LOC112052325,LOC112052598
LOC112050485,LOC112052135,LOC112052337,LOC112052606
LOC112050499,LOC112052136,LOC112052347,LOC112052615
LOC112050504,LOC112052141,LOC112052388,LOC112052627
LOC112050509,LOC112052145,LOC112052395,LOC112052647
LOC112050521,LOC112052165,LOC112052396,LOC112052674
LOC112050534,LOC112052166,LOC112052436,LOC112052778
LOC112050572,LOC112052180,LOC112052437,LOC112052847
LOC112050679,LOC112052202,LOC112052460,LOC112052849
LOC112050689,LOC112052272,LOC112052559,LOC112052867
LOC112050705,LOC112052274,LOC112052567,LOC112052880
LOC112050729,LOC112052289,LOC112052587,LOC112052881
LOC112050737,LOC112052325,LOC112052591,LOC112053016
LOC112050895,LOC112052337,LOC112052601,LOC112053070
LOC112050902,LOC112052382,LOC112052608,LOC112053074
LOC112050961,LOC112052404,LOC112052647,LOC112053159
LOC112050967,LOC112052411,LOC112052674,LOC112053170
LOC112050969,LOC112052437,LOC112052747,LOC112053199
LOC112050976,LOC112052504,LOC112052839,LOC112053291
LOC112050980,LOC112052566,LOC112052867,LOC112053294
LOC112051025,LOC112052594,LOC112052870,LOC112053300
LOC112051118,LOC112052608,LOC112052880,LOC112053308
LOC112051121,LOC112052627,LOC112053022,LOC112053324
LOC112051181,LOC112052636,LOC112053034,LOC112053364
LOC112051193,LOC112052742,LOC112053060,LOC112053366
LOC112051208,LOC112052778,LOC112053123,LOC112053375
LOC112051215,LOC112052860,LOC112053154,LOC112053441
LOC112051221,LOC112052990,LOC112053155,LOC112053443
LOC112051233,LOC112053002,LOC112053170,LOC112053444
LOC112051234,LOC112053016,LOC112053199,LOC112053492
LOC112051245,LOC112053036,LOC112053211,LOC112053574
LOC112051272,LOC112053060,LOC112053231,LOC112053596
LOC112051279,LOC112053070,LOC112053265,LOC112053614
LOC112051313,LOC112053078,LOC112053274,LOC112053646
LOC112051314,LOC112053155,LOC112053282,LOC112053704
LOC112051327,LOC112053170,LOC112053291,LOC112053720
LOC112051357,LOC112053171,LOC112053300,LOC112053740
LOC112051386,LOC112053190,LOC112053302,LOC112053753
LOC112051403,LOC112053199,LOC112053308,LOC112053871
LOC112051407,LOC112053231,LOC112053324,LOC112053895
LOC112051419,LOC112053273,LOC112053333,LOC112053903
LOC112051433,LOC112053308,LOC112053364,LOC112053917
LOC112051454,LOC112053333,LOC112053371,LOC112053935
LOC112051494,LOC112053362,LOC112053375,LOC112054048
LOC112051508,LOC112053364,LOC112053424,LOC112054077
LOC112051516,LOC112053375,LOC112053443,LOC112054155
LOC112051523,LOC112053443,LOC112053485,LOC112054188
LOC112051526,LOC112053444,LOC112053525,LOC112054190
LOC112051535,LOC112053485,LOC112053562,LOC112054240
LOC112051539,LOC112053498,LOC112053574,LOC112054266
LOC112051554,LOC112053562,LOC112053596,LOC112054299
LOC112051565,LOC112053596,LOC112053614,LOC112054303
LOC112051626,LOC112053597,LOC112053692,LOC112054313
LOC112051655,LOC112053600,LOC112053698,LOC112054318
LOC112051684,LOC112053614,LOC112053732,LOC112054323
LOC112051719,LOC112053623,LOC112053737,LOC112054339
LOC112051763,LOC112053634,LOC112053742,LOC112054344
LOC112051765,LOC112053646,LOC112053743,LOC112054356
LOC112051822,LOC112053720,LOC112053753,LOC112054363
LOC112051828,LOC112053737,LOC112053798,LOC112054401
LOC112051879,LOC112053753,LOC112053860,LOC112054429
LOC112051888,LOC112053782,LOC112053871,LOC112054442
LOC112051915,LOC112053808,LOC112053874,LOC112054475
LOC112051946,LOC112053824,LOC112053895,LOC112054507
LOC112051951,LOC112053862,LOC112053897,LOC112054590
LOC112051953,LOC112053871,LOC112053898,LOC112054593
LOC112051964,LOC112053872,LOC112053903,LOC112054746
LOC112051967,LOC112053886,LOC112053935,LOC112054834
LOC112051973,LOC112053895,LOC112053936,LOC112054971
LOC112052019,LOC112053917,LOC112053997,LOC112055014
LOC112052042,LOC112053935,LOC112054018,LOC112055035
LOC112052049,LOC112053999,LOC112054036,LOC112055104
LOC112052054,LOC112054077,LOC112054077,LOC112055212
LOC112052082,LOC112054078,LOC112054133,LOC112055302
LOC112052088,LOC112054124,LOC112054150,LOC112055327
LOC112052135,LOC112054138,LOC112054216,LOC112055387
LOC112052136,LOC112054150,LOC112054223,LOC112055393
LOC112052141,LOC112054185,LOC112054224,LOC112055413
LOC112052145,LOC112054210,LOC112054227,LOC112055428
LOC112052147,LOC112054217,LOC112054240,LOC112055445
LOC112052166,LOC112054218,LOC112054260,LOC112055450
LOC112052187,LOC112054224,LOC112054293,LOC112055453
LOC112052202,LOC112054260,LOC112054350,LOC112055481
LOC112052265,LOC112054303,LOC112054387,LOC112055522
LOC112052274,LOC112054344,LOC112054391,LOC112055523
LOC112052282,LOC112054363,LOC112054394,LOC112055541
LOC112052289,LOC112054440,LOC112054414,LOC112055547
LOC112052325,LOC112054441,LOC112054431,LOC112055597
LOC112052331,LOC112054442,LOC112054475,LOC112055642
LOC112052337,LOC112054475,LOC112054514,LOC112055731
LOC112052373,LOC112054590,LOC112054515,LOC112055739
LOC112052382,LOC112054600,LOC112054517,LOC112055764
LOC112052388,LOC112054615,LOC112054561,LOC112055815
LOC112052396,LOC112054727,LOC112054571,LOC112055835
LOC112052437,LOC112054814,LOC112054590,LOC112055863
LOC112052453,LOC112054834,LOC112054600,LOC112055881
LOC112052504,LOC112054836,LOC112054615,LOC112055897
LOC112052515,LOC112054853,LOC112054625,LOC112055996
LOC112052562,LOC112054854,LOC112054724,LOC112056029
LOC112052566,LOC112054858,LOC112054727,LOC112056045
LOC112052571,LOC112054869,LOC112054766,LOC112056072
LOC112052594,LOC112055014,LOC112054767,LOC112056098
LOC112052598,LOC112055201,LOC112054772,LOC112056106
LOC112052599,LOC112055216,LOC112054793,LOC112056170
LOC112052608,LOC112055223,LOC112054814,LOC112056174
LOC112052627,LOC112055277,LOC112054819,LOC112056176
LOC112052636,LOC112055281,LOC112054836,LOC112056296
LOC112052655,LOC112055290,LOC112054858,LOC112056355
LOC112052681,LOC112055327,LOC112054900,LOC112056518
LOC112052742,LOC112055381,LOC112055014,LOC112056544
LOC112052747,LOC112055393,LOC112055035,LOC112056553
LOC112052748,LOC112055407,LOC112055061,LOC112056560
LOC112052778,LOC112055422,LOC112055133,LOC112056645
LOC112052786,LOC112055427,LOC112055290,LOC112056657
LOC112052834,LOC112055428,LOC112055294,LOC112056668
LOC112052839,LOC112055453,LOC112055338,LOC112056775
LOC112052860,LOC112055477,LOC112055393,LOC112056777
LOC112052867,LOC112055487,LOC112055413,LOC112056791
LOC112052997,LOC112055495,LOC112055422,LOC112056839
LOC112053006,LOC112055515,LOC112055427,LOC112056840
LOC112053008,LOC112055545,LOC112055429,LOC112056907
LOC112053022,LOC112055547,LOC112055441,LOC112057017
LOC112053024,LOC112055597,LOC112055455,LOC112057117
LOC112053030,LOC112055603,LOC112055469,LOC112057145
LOC112053036,LOC112055642,LOC112055471,LOC112057294
LOC112053060,LOC112055679,LOC112055476,LOC112057417
LOC112053067,LOC112055740,LOC112055487,LOC112057460
LOC112053097,LOC112055794,LOC112055519,LOC112057549
LOC112053155,LOC112055813,LOC112055556,LOC112057669
LOC112053160,LOC112055815,LOC112055597,LOC112057684
LOC112053170,LOC112055865,LOC112055605,LOC112057718
LOC112053171,LOC112055881,LOC112055667,LOC112057725
LOC112053186,LOC112055942,LOC112055739,LOC112057752
LOC112053188,LOC112055990,LOC112055794,LOC112057754
LOC112053211,LOC112055996,LOC112055797,LOC112057757
LOC112053215,LOC112056026,LOC112055815,LOC112057842
LOC112053231,LOC112056072,LOC112055816,LOC112057845
LOC112053233,LOC112056134,LOC112055826,LOC112057896
LOC112053273,LOC112056170,LOC112055897,LOC112057904
LOC112053281,LOC112056176,LOC112055925,LOC112057974
LOC112053290,LOC112056263,LOC112055942,LOC112057983
LOC112053291,LOC112056309,LOC112055976,LOC112058076
LOC112053300,LOC112056402,LOC112055983,LOC112058079
LOC112053308,LOC112056467,LOC112055996,LOC112058089
LOC112053327,LOC112056515,LOC112056020,LOC112058145
LOC112053333,LOC112056645,LOC112056026,LOC112058156
LOC112053352,LOC112056668,LOC112056031,LOC112058158
LOC112053364,LOC112056774,LOC112056072,LOC112058162
